shell,Mpa,logMpa,Treatment,ph,temp,tank
201,23.823567,1.377006787,extreme,1050uatm,21.5C,1
202,18.050672,1.256493375,extreme,1050uatm,21.5C,1
203,24.460137,1.388458885,extreme,1050uatm,21.5C,1
204,17.194683,1.235394174,extreme,1050uatm,21.5C,1
205,6.258084,0.796441388,extreme,1050uatm,21.5C,1
206,11.555103,1.062773821,extreme,1050uatm,21.5C,1
207,12.20754,1.086628156,extreme,1050uatm,21.5C,1
208,13.903095,1.14311149,extreme,1050uatm,21.5C,1
209,12.104053,1.082930817,extreme,1050uatm,21.5C,2
210,10.159535,1.006873831,extreme,1050uatm,21.5C,2
211,12.93909,1.111903734,extreme,1050uatm,21.5C,2
212,19.491822,1.289852437,extreme,1050uatm,21.5C,2
213,11.739755,1.069659034,extreme,1050uatm,21.5C,2
214,14.295291,1.155193,extreme,1050uatm,21.5C,2
215,13.157426,1.119170936,extreme,1050uatm,21.5C,2
216,20.547698,1.312763174,extreme,1050uatm,21.5C,2
217,24.919789,1.396544361,lowph,1050uatm,14C,3
218,23.079581,1.36322792,lowph,1050uatm,14C,3
219,16.03354,1.20502942,lowph,1050uatm,14C,3
220,19.932597,1.299563886,lowph,1050uatm,14C,3
221,18.078301,1.257157613,lowph,1050uatm,14C,3
222,12.839734,1.108556027,lowph,1050uatm,14C,3
223,14.66132,1.166173073,lowph,1050uatm,14C,3
224,13.158829,1.119217243,lowph,1050uatm,14C,4
225,20.311149,1.307734492,lowph,1050uatm,14C,4
227,19.005041,1.278868811,lowph,1050uatm,14C,4
228,12.80431,1.10735618,lowph,1050uatm,14C,4
229,17.950569,1.254078219,lowph,1050uatm,14C,4
230,17.314643,1.238413542,lowph,1050uatm,14C,4
231,13.047938,1.115541884,hightemp,365uatm,21.5C,5
233,20.424357,1.310148393,hightemp,365uatm,21.5C,5
234,13.741374,1.13803016,hightemp,365uatm,21.5C,5
235,21.300183,1.328383335,hightemp,365uatm,21.5C,5
236,21.933503,1.341107998,hightemp,365uatm,21.5C,5
237,17.661172,1.24701952,hightemp,365uatm,21.5C,5
238,19.850302,1.297767118,hightemp,365uatm,21.5C,5
240,18.436623,1.265681375,hightemp,365uatm,21.5C,6
241,16.345481,1.213397705,hightemp,365uatm,21.5C,6
242,19.143015,1.28201034,hightemp,365uatm,21.5C,6
243,20.010475,1.301257398,hightemp,365uatm,21.5C,6
244,24.109158,1.382182043,hightemp,365uatm,21.5C,6
245,19.735773,1.295254141,hightemp,365uatm,21.5C,6
246,21.40788,1.330573662,ambient,365uatm,14C,7
247,22.257219,1.347470899,ambient,365uatm,14C,7
248,20.714834,1.316281457,ambient,365uatm,14C,7
249,19.04692,1.279824758,ambient,365uatm,14C,7
250,25.140672,1.400376882,ambient,365uatm,14C,7
252,18.788006,1.27388069,ambient,365uatm,14C,7
253,17.155187,1.234395456,ambient,365uatm,14C,7
254,22.697071,1.355969816,ambient,365uatm,14C,8
255,32.923816,1.517510166,ambient,365uatm,14C,8
256,33.21701,1.521360537,ambient,365uatm,14C,8
257,17.388157,1.240253553,ambient,365uatm,14C,8
258,30.667568,1.486679337,ambient,365uatm,14C,8
260,17.728538,1.248672923,ambient,365uatm,14C,8
261,19.44193,1.288739375,ambient,365uatm,14C,8
